QUEST_20150317_000001	โปรดเลือกตัว ผู้เล่น 
QUEST_20150317_000002	Statue of Goddess Vakarine
QUEST_20150317_000003	โปรดเลือกอาณาเขต
QUEST_20150317_000004	เลือก
QUEST_20150317_000005	โปรดเลือกไอเทมที่ต้องการ
QUEST_20150317_000006	เลือกกลุ่ม
QUEST_20150317_000007	โปรดเลือกกลุ่มเริ่มต้น
QUEST_20150317_000008	เลือกเขต
QUEST_20150317_000009	โปรดเลือกเขตที่ต้องการจะเริ่มต้น
QUEST_20150317_000010	เลือก Advancement
QUEST_20150317_000011	โปรดเลือก Class
QUEST_20150317_000012	Bokor Master
QUEST_20150317_000013	ตกลง,เจ้าต้องการที่จะเรียนรู้เกี่ยวกับจารึกบนหินชนวนนี้ {nl}ถ้าเจ้าปรารถนา,ข้าจะแสดงความต้องการของผู้สร้างให้เจ้าดู
QUEST_20150317_000014	Goddess Laima
QUEST_20150317_000015	กว่าที่เจ้าจะได้รับข้อความนี้,เวลาคงผ่านไปมาก {nl}ข้าคือเทพแห่งโชคชะตาและปัญญา,Laima
QUEST_20150317_000016	600 ปีก่อน, ข้าได้เห็นถึงความตายและความทุกข์ทรมานของผู้คนจำนานมากในอนาคต {nl}ถ้าเจ้าได้เห็นข้อความนี้ข้าเกรงว่าสิ่งที่ข้าพยากรณ์ไว้จะได้เกิดขึ้นแล้ว
QUEST_20150317_000017	พวกปีศาจ ได้เริ่มแผนการแรกแห่งหายนะ,เหล่าบรรดาเทพต่างๆได้หายตัวไป {nl}ข้ารู้ว่าสิ่งเหล่านี้จะเกิดและได้พยายามทำทุกอย่างที่จะยับยั้งไม่ให้โชคชะตานี้เกิดขึ้น,แต่พลังของข้านั้นไม่เพียงพอ
QUEST_20150317_000018	ดังนั้น,ข้าจึงได้ออกเดินทางตามความฝันต่างๆ เพื่อหาทางออกจากเหตุการณ์ที่จะเกิดขึ้นในภายหน้า {nl}เจ้าคือหนทางสุดท้าย ผู้กอบกู้
QUEST_20150317_000019	ช่างโชคไม่ดี,ข้าไม่อาจอยู่เฉยเมื่อเหล่าปีศาจออกตามหาข้า,พวกปีศาจรู้ถึงพลังผู้มีญาณทิพย์ {nl}ข้าถูกบังคับให้หลบซ่อน,จนกว่าจะถึงเวลาที่เจ้าปรากฏตัว
QUEST_20150317_000020	ข้าจึงหาทางออกโดยการแยกร่างหลายร่างและดำรงอยู่ในข้อความที่อยู่ตามที่ต่างๆ {nl}ข้อความเหล่านี้ที่ข้าแอบสร้างมาโดยตลอดกว่าหลายพันปีที่ผ่านมา
QUEST_20150317_000021	ผู้กอบกู้,ถ้าเจ้าสามารถช่วยให้ข้าคืนร่างได้,เราสามารถหยุดแผนชั่วร้ายของเหล่าปีศาจ {nl}เจ้าต้องนำบรรดา Revelations กลับมา ซึ่งข้าได้ซ่อนมันไว้ตามแกนแห่งเวลา
QUEST_20150317_000022	ภารกิจศักดิ์สิทธิ์เหล่านี้อาจเป็นภาระอันใหญ่หลวง,แต่มันเป็นภาระที่เจ้าต้องแบกรับเอาไว้ {nl}บางที,ระหว่างการเดินทางที่แสนยากลำบากนี้,บางสิ่งบางอย่างอาจเกิดขึ้นก็ได้
QUEST_20150317_000023	อย่างไรก็แล้วแต่,มีเพียงแค่เราเท่านั้นที่สามารถปกป้องโลกนี้ได้
